set,name,theme,year,models
7150-1,TIE Fighter & Y-wing,Star Wars,1999,1
7161-1,Gungan Sub,Star Wars,1999,1
7180-1,B-wing at Rebel Control Center,Star Wars,2000,1
7181-1,TIE Interceptor,Star Wars > Ultimate Collector Series,2000,1
7191-1,X-wing Fighter,Star Wars > Ultimate Collector Series,2000,1
7209-1,Pteranodon,Creator > Designer Sets,2004,1
7210-1,Apatosaurus,Creator > Designer Sets,2004,1
7218-1,Orange Speedboat,Creator > Designer Sets,2004,1
7219-1,Dinosaur,Creator > Designer Sets,2004,1
722-1,Universal Building Set,Universal Building Set,1980,5
7221-1,Robots,Creator > Designer Sets,2003,2
7222-1,Small Red Helicopter (Polybag),Creator > Designer Sets,2003,2
7223-1,Yellow Truck (Polybag),Creator > Designer Sets,2003,2
7235-1,Police Motorcycle (Black Sticker Version),City > Police,2005,1
7236-1,Police Car (Black Sticker Version),City > Police,2005,1
7242-1,Street Sweeper,City > Traffic,2005,1
7245-1,"Prisoner Transport, Black Logo",City > Police,2005,1
7246-1,Mini Digger,City > Construction,2005,1
7248-1,Digger,City > Construction,2005,1
7268-1,Crab,Creator > Designer Sets,2005,1
7269-1,Scorpion,Creator > Designer Sets,2005,1
7270-1,Bird,Creator > Designer Sets,2005,1
7271-1,Apple - Suntory Promotional,Creator,2005,1
7272-1,Pear - Suntory Promotional,Creator,2005,1
7274-1,Orange - Suntory Promotional,Creator,2005,1
7275-1,Cherry - Suntory Promotional,Creator,2005,1
7276-1,Mango - Suntory Promotional,Creator,2005,1
7278-1,Melon - Suntory Promotional,Creator,2005,1
7306-1,Golden Staff Guardians,Pharaoh's Quest,2011,1
7325-1,Cursed Cobra Statue,Pharaoh's Quest,2011,1
7326-1,Rise of the Sphinx,Pharaoh's Quest,2011,1
7327-1,Scorpion Pyramid,Pharaoh's Quest,2011,1
733-1,Universal Building Set,Universal Building Set,1980,5
7347-1,Highway Pickup,Creator > Creator 3-in-1,2012,3
7410-1,Jungle River,Adventurers > Orient Expedition,2003,1
744-1,Universal Building Set,Universal Building Set,1980,5
7452-1,Lime/Black Racer,Racers,2007,1
7453-1,Yellow/Black Racer,Racers,2007,1
75010-1,B-wing Starfighter & Planet Endor,Star Wars,2013,1
75033-1,Star Destroyer,Star Wars,2014,1
75050-1,B-Wing,Star Wars,2014,1
75053-1,The Ghost,Star Wars,2014,1
75054-1,AT-AT,Star Wars,2014,1
75055-1,Imperial Star Destroyer,Star Wars,2014,1
75060-1,Slave I,Star Wars > Ultimate Collector Series,2015,1
75075-1,AT-AT,Star Wars,2015,1
75102-1,Poe's X-Wing Fighter,Star Wars,2015,1
75144-1,Snowspeeder,Star Wars > Ultimate Collector Series,2017,1
75155-1,Rebel U-Wing Fighter,Star Wars,2016,1
75181-1,Y-Wing Starfighter,Star Wars > Ultimate Collector Series,2018,1
75253-1,Droid Commander,Star Wars,2019,2
75272-1,Sith TIE Fighter,Star Wars,2020,1
75276-1,Stormtrooper,Star Wars,2020,1
75277-1,Boba Fett,Star Wars,2020,1
75317-1,The Mandalorian & The Child,Brickheadz,2020,1
75870-1,Chevrolet Corvette Z06,Speed Champions,2016,1
75878-1,Bugatti Chiron,Speed Champions,2017,1
75892-1,McLaren Senna,Speed Champions,2019,1
75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,2019,1
75895-1,1974 Porsche 911 Turbo 3.0,Speed Champions,2019,1
75948-1,Hogwarts Clock Tower,Harry Potter,2019,1
75953-1,Hogwarts Whomping Willow,Harry Potter,2018,1
75954-1,Hogwarts Great Hall,Harry Potter,2018,1
75966-1,Hogwarts Room of Requirement,Harry Potter,2020,1
75968-1,4 Privet Drive,Harry Potter,2020,1
75969-1,Hogwarts Astronomy Tower,Harry Potter,2020,1
75980-1,Attack on The Burrow,Harry Potter,2020,1
7601-1,LEGO Go-Kart Set,Creator,2006,1
7602-1,Jeep,Creator,2006,1
7603-1,Dump Truck,Creator,2006,1
76042-1,The SHIELD Helicarrier,Super Heroes Marvel > Avengers,2015,1
7607-1,Butterfly,Creator,2006,1
7608-1,Shark,Creator,2006,1
7609-1,Helicopter,Creator,2006,1
7610-1,Speedboat,Creator,2006,1
7611-1,Police Car,Racers,2008,1
7612-1,Muscle Car,Racers,2008,1
7613-1,Track Racer,Racers,2008,1
76139-1,1989 Batmobile,Super Heroes DC > Batman > UCS,2019,1
76161-1,1989 Batwing,Super Heroes DC > Batman > UCS,2020,1
7630-1,Front-End Loader,City > Construction,2009,1
7631-1,Dump Truck,City > Construction,2009,1
7632-1,Crawler Crane,City > Construction,2009,1
7634-1,Tractor,City > Farm,2009,1
7635-1,4WD with Horse Trailer,City > Farm,2009,1
7636-1,Combine Harvester,City > Farm,2009,1
7637-1,Farm,City > Farm,2009,1
7638-1,Tow Truck,City > Traffic,2009,1
7639-1,Camper,City > Traffic,2009,1
7641-1,City Corner,City > Traffic,2009,1
7657-1,AT-ST,Star Wars,2007,1
7667-1,Imperial Dropship,Star Wars,2008,1
7685-1,Dozer,City > Construction,2009,1
76897-1,1985 Audi Sport quattro S1,Speed Champions,2020,1
7715-1,Push-Along Passenger Steam Train,Train > 4.5V,1985,1
7722-1,Steam Cargo Train,Train > 4.5V,1985,1
7725-1,Electric Passenger Train,Train > 12V,1981,1
7730-1,Electric Goods Train,Train > 12V,1980,1
7731-1,Mail Van,City > Traffic,2008,1
7732-1,Air Mail,City > Traffic,2008,1
7733-1,Truck & Forklift,City > Cargo,2008,1
7735-1,Freight Train,Train > 12V,1985,2
7736-1,Coast Guard Quad Bike,City > Coast Guard,2008,1
7737-1,Coast Guard 4WD & Jet Scooter,City > Coast Guard,2008,1
7740-1,Inter-City Passenger Train,Train > 12V,1980,1
7741-1,Police Helicopter,City > Police,2008,1
7743-1,Police Command Center,City > Police,2008,1
7745-1,High-Speed City Express Passenger Train,Train > 12V,1985,1
7746-1,Single-Drum Roller,City > Construction,2009,1
7747-1,Wind Turbine Transport,City > Traffic,2009,1
7750-1,Steam Engine,Train > 12V,1980,1
7755-1,Diesel Heavy Shunting Locomotive,Train > 12V,1983,1
7760-1,Diesel Shunter Locomotive,Train > 12V,1980,1
7784-1,The Batmobile Ultimate Collectors' Edition,Super Heroes DC > Batman > UCS,2006,1
77904-1,Nebulon-B Frigate,Star Wars,2020,1
7796-1,House,Creator,2008,1
7800-1,Off Road Racer,Racers,2009,1
7801-1,Red Racer Polybag,Racers,2009,1
7802-1,Black Racer Polybag,Racers,2009,1
7803-1,Jeep,Creator,2009,1
7808-1,Yellow Airplane,Creator,2009,1
7810-1,Push-Along Steam Engine,Train > 4.5V,1980,1
7813-1,Shell Tanker Wagon,Train > 12V,1986,1
7815-1,Passenger Carriage / Sleeper,Train > 12V,1983,1
7816-1,Shell Tanker Wagon,Train > 4.5V,1980,1
7817-1,Crane Wagon,Train > 4.5V,1985,1
7819-1,Postal Container Wagon Covered,Train,1983,1
7821-1,Overhead Gantry and Lighting Maintenance Wagon,Train > 4.5V,1983,2
7822-1,Railway Station,Train > 4.5V,1980,1
7823-1,Container Crane Depot,Train > 12V,1986,1
7824-1,Railway Station,Train > 4.5V,1983,1
7834-1,Level Crossing Manual,Train > 12V,1980,1
7835-1,Manual Road Crossing,Train > 4.5V,1985,1
7839-1,Car Transport Depot,Train > 12V,1986,1
7866-1,Remote Controlled Road Crossing,Train > 12V,1983,1
7875-1,Backhoe,Creator,2007,1
7893-1,Passenger Plane,City > Airport,2006,1
7902-1,Doctor's Car,City > Hospital,2006,1
7903-1,Rescue Helicopter,City > Hospital,2006,1
7910-1,Robot Promotional (Duracell),Creator > Designer Sets,2004,1
7911-1,Ship Promotional (Duracell),Creator > Designer Sets,2004,1
7912-1,Helicopter Promotional (Duracell),Creator > Designer Sets,2004,1
7936-1,Level Crossing,City > Trains,2010,1
7942-1,Off Road Fire Rescue,City > Fire,2007,1
7990-1,Cement Mixer,City > Construction,2007,1
7991-1,Recycle Truck,City > Traffic,2007,1
7992-1,Container Stacker,City > Cargo,2007,1
7997-1,Train Station,City > Trains,2007,1
8001-1,Battle Droid™ / Star Wars Battle Droid,Technic > Star Wars,2000,2
8002-1,Destroyer Droid™ / Star Wars Destroyer Droid,Technic > Star Wars,2000,1
8012-1,Super Battle Droid™,Technic > Star Wars,2002,1
8020-1,Universal Building Set,Technic > Universal Building Set,1984,6
8022-1,TECHNIC Starter Set,Technic > Universal Building Set,1993,4
8024-1,Universal Building Set,Technic > Universal Building Set,1989,1
8028-1,TIE Fighter - Mini,Star Wars,2008,1
8029-1,Mini Snowspeeder,Star Wars,2008,1
8031-1,V-19 Torrent - Mini,Star Wars,2008,1
8032-1,Universal Set,Technic > Universal Building Set,1994,6
8033-1,General Grievous Starfighter - Mini,Star Wars,2009,1
8049-1,Tractor with Log Loader,Technic,2010,2
8054-1,Universal Building Set,Technic > Universal Building Set,1989,3
8062-1,Universal Set with Storage Case,Technic > Universal Building Set,1994,6
8063-1,Tractor with Trailer,Technic,2009,2
8074-1,Universal Building Set with Flex System,Technic > Universal Building Set,1992,4
8081-1,Extreme Cruiser,Technic,2011,2
8094-1,TECHNIC Control Centre,Technic > Universal Building Set,1990,4
8099-1,Midi-Scale Imperial Star Destroyer,Star Wars,2010,1
8110-1,Mercedes-Benz Unimog U400,Technic,2011,1
8119-1,Thunder Racer,Racers,2009,2
8120-1,Rally Sprinter,Racers,2009,2
8121-1,Track Marshal,Racers,2009,2
8122-1,Desert Viper,Racers,2009,2
8123-1,Ferrari F1 Racers,Racers,2009,1
8124-1,Ice Rally,Racers,2009,1
8125-1,Thunder Raceway,Racers,2009,1
8126-1,Desert Challenge,Racers,2009,1
8130-1,Terrain Crusher,Racers,2007,2
8131-1,Raceway Rider,Racers,2007,2
8132-1,Night Driver,Racers,2007,2
8133-1,Rally Rider,Racers,2007,2
8134-1,Night Crusher,Racers,2007,1
8135-1,Bridge Chase,Racers,2007,1
8143-1,Ferrari 1:17 F430 Challenge,Racers > Ferrari,2007,1
8147-1,Bullet Run,Racers,2007,1
8148-1,EZ-Roadster,Racers,2008,2
8149-1,Midnight Streak,Racers,2008,2
8150-1,ZX Turbo,Racers,2008,2
8151-1,Adrift Sport,Racers,2008,2
8152-1,Speed Chasing,Racers,2008,1
8154-1,Brick Street Customs,Racers,2008,1
8156-1,Ferrari FXX 1:17,Racers > Ferrari,2008,1
8158-1,Speed Racer & Snake Oiler,Speed Racer,2008,1
8159-1,Racer X & Taejo Togokhan,Speed Racer,2008,1
8160-1,Cruncher Block & Racer X,Speed Racer,2008,1
8161-1,Grand Prix Race,Speed Racer,2008,1
8169-1,Lamborghini Gallardo LP 560-4,Racers,2009,1
8182-1,Monster Crushers,Racers,2009,1
8186-1,Street Extreme,Racers,2009,1
8192-1,Lime Racer,Racers,2010,2
8193-1,Blue Bullet,Racers,2010,2
8194-1,Nitro Muscle,Racers,2010,2
8195-1,Turbo Tow,Racers,2010,2
8196-1,Chopper Jump,Racers,2010,1
8197-1,Highway Chaos,Racers,2010,1
8198-1,Ramp Crash,Racers,2010,1
8199-1,Security Smash,Racers,2010,1
8202-1,Blast Off Chopper with Bungee Cord Power!,Technic > Competition,1998,2
8203-1,Rover Discovery,Technic,1998,1
8204-1,Sky Flyer I,Technic,1998,1
8208-1,Custom Cruiser,Technic,1998,1
8209-1,F1 Racer / Future F1,Technic,1998,1
8211-1,Brick Street Getaway,Racers,2010,1
8217-1,The Wasp,Technic,1998,1
8218-1,Trike Tourer,Technic,1998,1
8245-1,Robot's Revenge,Technic > Competition,1998,1
8256-1,Go-Kart,Technic,2009,2
8257-1,Cyber Strikers,Technic > Competition,1998,1
8258-1,Crane Truck,Technic,2009,1
8259-1,Mini Bulldozer,Technic,2009,2
8260-1,Tractor,Technic,2009,2
8261-1,Rally Truck,Technic,2009,2
8270-1,Rough Terrain Crane,Technic,2007,2
8272-1,Snowmobile,Technic,2007,2
8273-1,Off Road Truck,Technic,2007,2
8274-1,Combine Harvester,Technic,2007,2
8275-1,Motorized Bulldozer,Technic,2007,1
8281-1,Mini Tractor,Technic,2006,2
8283-1,Telehandler,Technic,2006,2
8285-1,Tow Truck,Technic,2006,1
8289-1,Fire Truck,Technic,2006,2
8301-1,Urban Enforcer,Racers,2011,2
8302-1,Rod Rider,Racers,2011,2
8303-1,Demon Destroyer,Racers,2011,2
8304-1,Smokin' Slickster,Racers,2011,2
8399-1,K-9 Bot,Space > Space Police III,2009,1
8400-1,Space Speeder,Space > Space Police III,2009,1
8416-1,Forklift,Technic,2005,2
8418-1,Mini Loader,Technic,2005,2
8419-1,Excavator,Technic,2005,2
8448-1,Super Street Sensation,Technic,1999,5
8464-1,Pneumatic Front End Loader,Technic,2001,1
8466-1,4x4 Off Roader,Technic,2001,1
8495-1,Crosstown Craze,Racers,2008,1
850-1,Fork lift truck,Technic > Expert Builder,1977,3
851-1,Tractor,Technic > Expert Builder,1977,1
852-1,Reconnaisance Helicopter,Technic > Expert Builder,1977,1
8527-1,Mindstorms NXT,Mindstorms > NXT,2006,5
854-1,Go-Kart,Technic > Expert Builder,1978,1
8641-1,Flame Glider,Racers,2005,2
8642-1,Monster Crusher,Racers,2005,2
8643-1,Power Cruiser,Racers,2005,2
8644-1,Street Maniac,Racers,2005,2
8655-1,RX-Sprinter,Racers,2005,2
8656-1,F6 Truck,Racers,2005,2
8657-1,ATR 4,Racers,2005,2
8658-1,Big Bling Wheelie,Racers,2005,2
8661-1,Carbon Star,Racers,2006,2
8662-1,Blue Renegade,Racers,2006,2
8663-1,Fat Trax,Racers,2006,2
8664-1,Road Hero,Racers,2006,2
8665-1,Highway Enforcer {Box},Racers,2006,2
8666-1,TunerX,Racers,2006,2
8681-1,Tuner Garage,Racers,2006,1
8808-1,F1 Racer,Technic,1994,1
8810-1,Cafe Racer,Technic,1991,2
8815-1,Speedway Bandit,Technic,1991,3
8820-1,Mountain Rambler,Technic,1991,3
8824-1,Hovercraft,Technic,1994,1
8825-1,Night Chopper,Technic,1991,2
8826-1,ATX Sport Cycle,Technic,1993,2
8828-1,Front End Loader,Technic,1993,2
8830-1,Rally 6-wheeler,Technic,1990,2
8832-1,Roadster,Technic,1988,1
8835-1,Forklift,Technic,1989,2
8836-1,Sky Ranger,Technic,1993,2
8837-1,Pneumatic Excavator,Technic,1992,2
8838-1,Shock Cycle,Technic,1991,2
8840-1,Rally Shock n' Roll Racer,Technic,1991,2
8841-1,Desert Racer,Technic,1983,6
8844-1,Helicopter,Technic > Expert Builder,1981,1
8845-1,Dune Buggy,Technic > Expert Builder,1981,1
8848-1,Power Truck,Technic > Expert Builder,1981,1
8849-1,Tractor,Technic,1986,1
885-1,Space Scooter,Space > Classic Space,1979,1
8850-1,Rally Support Truck,Technic,1990,2
8851-1,Excavator,Technic,1984,1
8854-1,Power Crane,Technic,1989,1
8855-1,Prop Plane,Technic,1988,3
8856-1,Whirlwind Rescue,Technic,1991,2
8859-1,Tractor,Technic > Expert Builder,1981,1
886-1,Space Buggy,Space > Classic Space,1979,1
8862-1,Backhoe Grader,Technic,1989,1
8865-1,Test Car,Technic,1988,1
8868-1,Airtech Claw Rig,Technic,1992,2
8880-1,Super Car,Technic,1994,2
889-1,Radar Truck,Space > Classic Space,1979,1
891-1,Two Seater Space Scooter,Space > Classic Space,1979,1
894-1,Mobile Ground Tracking Station,Space > Classic Space,1979,1
897-1,Mobile Rocket Launcher,Space > Classic Space,1979,1
9092-1,Crazy Demon,Racers,2012,1
9093-1,Bone Cruncher,Racers,2012,1
9094-1,Star Striker,Racers,2012,1
9095-1,Nitro Predator,Racers,2012,1
918-1,Space Transport,Space > Classic Space,1979,1
920-2,Alpha-1 Rocket Base,Space > Classic Space,1979,1
924-1,Space Cruiser,Space > Classic Space,1979,1
926-1,Command Centre,Space > Classic Space,1979,1
928-1,Galaxy Explorer,Space > Classic Space,1979,1
9390-1,Mini Tow Truck,Technic,2012,2
9391-1,Mini Crane,Technic,2012,2
9392-1,Quad Bike,Technic,2012,2
9393-1,Tractor,Technic,2012,1
9394-1,Jet Plane,Technic,2012,2
9395-1,Pick-Up Tow Truck,Technic,2012,1
9396-1,Helicopter,Technic,2012,2
9397-1,Logging Truck,Technic,2012,1
9469-1,Gandalf Arrives,The Hobbit and Lord of the Rings > The Lord of the Rings,2012,1
9470-1,Shelob Attacks,The Hobbit and Lord of the Rings > The Lord of the Rings,2012,1
9471-1,Uruk-hai Army,The Hobbit and Lord of the Rings > The Lord of the Rings,2012,1
9476-1,The Orc Forge,The Hobbit and Lord of the Rings > The Lord of the Rings,2012,1
950-1,Fork Lift,Technic > Expert Builder,1979,3
952-1,Tractor,Technic > Expert Builder,1978,1
956-1,Auto Chassis,Technic > Expert Builder,1978,1
